"Source:","D:\Mis documentos\Documentos\GitHub\Easyrun\Circuit Design\Final Schematic\Easyrun.kicad_sch"
"Date:","14/05/2022 3:37:33 p. m."
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","76"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","STANDARD"
"17","7","J_gnd1, J_Tap_1, J_Tap_2, J_Tap_B1, J_Tap_B2, J_Tap_B3, J_Tap_B4","62409-1","Connector_Faston:62409-1","TE_62409-1","","62409-1","","",""
"18","1","J_I2C1","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Horizontal","~","","","",""
"19","3","J_Lector_1, J_Lector_2, J_Lector_3","Conn_01x08","Connector_Generic:Conn_01x08","Connector_JST:JST_EH_S8B-EH_1x08_P2.50mm_Horizontal","~","","","",""
"20","2","J_M1, J_M2","Conn_01x03","Connector_Generic:Conn_01x03","Connector_JST:JST_EH_S3B-EH_1x03_P2.50mm_Horizontal","~","","","",""
"21","1","J_prog1","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~","","","",""
"22","1","Lb1","L","Device:L","Inductor_THT:L_Toroid_Vertical_L25.4mm_W14.7mm_P12.20mm_Vishay_TJ5_BigPads","~","","","",""
"23","2","LB3, LB5","100u","Device:L","Inductor_THT:L_Toroid_Vertical_L25.4mm_W14.7mm_P12.20mm_Vishay_TJ5_BigPads","~","","","",""
"24","1","Lrec1","440m","Device:L","Inductor_THT:L_Toroid_Vertical_L25.4mm_W14.7mm_P12.20mm_Vishay_TJ5_BigPads","~","","","",""
"25","1","Qb1","IRF740","Transistor_FET:IRF740","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.vishay.com/docs/91054/91054.pdf","","","",""
"26","4","R1, R4, RB1, RB2","10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"27","2","R5, R6","220","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"28","3","R_GREEN1, R_RED1, Ro1","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"29","2","R_prog1, Ra1","47","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"30","4","R_Prog1, RI2C1, RI2C2, RMISO1","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"31","1","Rb1","100","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"32","1","SWRec1","SW_DIP_x01","Switch:SW_DIP_x01","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left","~","","","",""
"33","1","U1","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","","","",""
"34","1","U_555","LM555xM","Timer:LM555xM","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm555.pdf","","","",""
"35","1","U_ChargeControler1","TP4056","TP4056:TP4056","TP4056_Bcharge:SOP127P600X175-9N","https://www.sigmaelectronica.net/wp-content/uploads/2018/01/TP4056-lipo-charger.pdf","","NanJing Top Power ASIC Corp.","1.75mm","IPC 7351B"
"36","2","UB3v3, UB5v0","LM2576S-5","Regulator_Switching:LM2576S-5","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2576.pdf","","","",""
